linha,natureza,fase_ordem,fase,decisao_evento,ator_responsavel,sistema_canal,fonte_recurso,tabela_dado,papel_do_dado,chave_integracao_candidata,disponibilidade_verificada,confianca,lacuna_observacao
MCMV Financiada,financiada,1,Planejamento,"Define metas, regras, renda, juros, tetos e subsídios",MCID / CCFGTS,Normativos; PPA; orçamento FGTS,FGTS + subvenção OGU/Fundo Social quando aplicável,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final,Alocação anual/macro do FGTS,programa; exercício; região,tabela lógica citada; objeto raw não confirmado,media,A planilha orçamentária não prova execução financeira por contrato.
MCMV Financiada,financiada,2,Oferta,Construtora/incorporadora estrutura empreendimento,Construtora / incorporadora,Sistemas da IF,Capital de produção + FGTS,fgts_canal_tab_ao_1_tab_empreendimentos_construtor,Vínculo empreendimento-construtor,cod_empreendimento; CNPJ,tabela lógica citada; objeto raw não confirmado,media,
MCMV Financiada,financiada,3,Proposta,Família escolhe imóvel e apresenta documentação,Família / correspondente / IF,SIOPI e sistemas da IF,Crédito FGTS,tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj,Financiamento PF/PJ e enquadramento,cod_contrato; CPF/CNPJ,tabela lógica citada; objeto raw não confirmado,media,
MCMV Financiada,financiada,4,Enquadramento,Cruza renda e requisitos da faixa,Instituição financeira,SIOPI,FGTS + desconto elegível,tpc_2024_fgts_canal_tdom_faixa_renda,Domínio das faixas,cod_faixa; vigência,tabela lógica citada; objeto raw não confirmado,media,
MCMV Financiada,financiada,5,Crédito e engenharia,Avalia capacidade de pagamento e imóvel,Instituição financeira / engenharia,SIOPI; sistemas de engenharia,Crédito FGTS,fgts_canal_tab_ao_1_operacoes_pj_pf,Operação PF/PJ,cod_contrato; cod_empreendimento,tabela lógica citada; objeto raw não confirmado,media,
MCMV Financiada,financiada,6,Contratação,Partes assinam e registram contrato,Família / vendedor ou construtora / IF / cartório,Sistemas contratuais da IF,FGTS + recursos próprios + subsídio,fgts_canal_tab_ao_1_contratos_fgts,"Contrato, valor, prazo e situação",cod_contrato,tabela lógica citada; objeto raw não confirmado,alta,
MCMV Financiada,financiada,7,Desembolso,IF libera recursos após condições contratuais,Instituição financeira,Canal FGTS,FGTS,fgts_canal_tab_ao_2_tab_desembolsos_fgts,Eventos de desembolso,cod_contrato; data_desembolso,tabela lógica citada; objeto raw não confirmado,alta,
MCMV Financiada,financiada,8,Obra,"Acompanha evolução, paralisação e término",IF / construtora / MCID,Canal FGTS,FGTS,fgts_canal_tab_ao_2_tab_execucoes_obras | fgts_canal_tab_ao_2_operacoes_paralisadas_fgts_setorpublico | fgts_canal_tab_ao_3_acompanhamento_termino_obra,"Execução, exceções e conclusão",cod_contrato; cod_empreendimento; posição,tabelas lógicas citadas; objetos raw não confirmados,alta,
MCMV Financiada,financiada,9,Entrega,Registra UH financiada/entregue,IF / MCID,Dados abertos MCMV,FGTS + subsídio aplicável,dados_abertos_mcmv_fgts_analitico,Analítico por UH/contrato,cod_contrato; cod_empreendimento,tabela lógica citada; objeto raw não confirmado,alta,Confirmar granularidade e a coluna data_entrega_para_pf no esquema real.
MCMV Financiada,financiada,10,Qualidade,Monitora qualificação de construtor e materiais,MCID / PBQP-H,PBQP-H,Não é fonte financeira,dados_abertos_pbqp_h_siac | dados_abertos_pbqp_h_simac,Indicadores de qualidade,CNPJ; certificado; validade,tabelas lógicas citadas; objetos raw não confirmados,media,
MCMV Cidades,financiada com aporte público,1,Habilitação,Ente adere e comprova regularidade no SNHIS,Estado / município / DF; MCID,SNHIS,Ainda sem desembolso,dados_abertos_snhis_regularidade_entes,Situação do termo de adesão,CNPJ do ente; IBGE,4 objetos raw/sharepoint confirmados,alta,
