indicador,categoria,fonte,tabela,campos,regra_calculo,granularidade_temporal,granularidade_territorial,periodo_historico,unidade_medida,status_validacao
uh_meta_total,reloginho,tabela oficial de metas (a definir pela area); varredura MinIO nao encontrou arquivos com meta/ciclo/retomada,nao aplicavel (pendente); referencia visual 2.214.810 UHs para o ciclo 2023-2026,nao definido,pendente decisao de negocio; valor de referencia visual 2.214.810 UHs,ciclo 2023-2026,nacional (a definir por frente/UF),sem serie historica; somente referencia visual 2.214.810 UHs,UH,pendente
uh_contratadas,reloginho,raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_AF_CAIXA.csv; raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_AF_BB.txt; seed issue_118_mcmv_serie_temporal_piloto,silver mcmv (a definir); seed issue_118_mcmv_serie_temporal_piloto,quantidade_uh; dt_referencia; apf; uf; municipio; codigo_ibge_municipio,soma de UHs contratadas ate a data de referencia; snapshot 30/06/2026 = 1.874.623 UHs (CAIXA + BB) = 84.64% da meta visual,mensal (snapshots) para dado atual; anual 2009-2025 para serie historica,APF; UF; municipio; agente financeiro,serie anual 2009-2025 (piloto #118 somente contratadas; OGU/Subsidiado e FGTS/Financiado); snapshot 30/06/2026,UH,pendente
uh_entregues,reloginho,raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_AF_CAIXA_ENTREGAS.csv; raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_DA_ENTREGA_DA_UNIDADE_AF_BB.csv; bases mensais 202606 CAIXA + BB,silver mcmv (a definir),quantidade_uh_entregues; dt_referencia; apf; uf; municipio,soma de UHs entregues ate a data de referencia; snapshot 30/06/2026 = 1.543.432 (bases mensais) ou 1.518.598 (evento); 69.69% da meta visual; definir caminho oficial,mensal (snapshot pontual); sem serie historica,APF; UF; municipio; agente financeiro,somente snapshot 30/06/2026; nao existe serie historica de entregues,UH,pendente
perc_meta_contratada,reloginho,derivado de uh_contratadas e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh; uh_meta_total (parametro),uh_contratadas / uh_meta_total; referencia com meta visual = 1.874.623 / 2.214.810 = 84.64%,mensal (snapshot),nacional; por frente/UF conforme grao de uh_contratadas,calculavel com serie anual 2009-2025 contra meta do ciclo (regra pendente),percentual,pendente
perc_meta_entregue,reloginho,derivado de uh_entregues e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro),uh_entregues / uh_meta_total; referencia com meta visual = 1.543.432 / 2.214.810 = 69.69%,mensal (snapshot),nacional; por frente/UF conforme grao de uh_entregues,somente snapshot 30/06/2026; sem serie historica de entregues,percentual,pendente
gap_uh_meta,reloginho,derivado de uh_entregues e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro),uh_meta_total - uh_entregues,mensal (snapshot),nacional; por frente/UF conforme grao de uh_entregues,depende de uh_entregues (snapshot) e da meta oficial (pendente),UH,pendente
ritmo_medio_mensal,reloginho,derivado de uh_entregues (snapshots mensais),nao materializado (a definir na gold relogio),quantidade_uh_entregues; dt_referencia; ritmo_recente (media movel semanal/mensal),entregas acumuladas / meses observados,mensal,nao definido; aplicavel por frente/UF conforme grao,nao existe serie mensal de entregues; calculo depende de snapshots mensais,UHs/mes,pendente
ritmo_necessario,reloginho,derivado de uh_meta_total; uh_entregues e dt_referencia,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro); dt_referencia,(uh_meta_total - uh_entregues) / meses restantes do ciclo,mensal,nao definido; aplicavel por frente/UF conforme grao,depende da meta oficial (pendente) e de uh_entregues (snapshot),UHs/mes,pendente
projecao_entrega,reloginho,derivado de uh_entregues e ritmo_medio_mensal/ritmo_recente,nao materializado (a definir na gold relogio),quantidade_uh_entregues; dt_referencia; ritmo (derivado),entregas observadas + (ritmo recente x meses restantes do ciclo); alerta meta em risco quando projecao menor que meta oficial,mensal,nao definido,nao ha serie mensal de entregues para projetar; depende de serie de snapshots,UH,pendente
status_relogio,reloginho,derivado dos demais indicadores do grupo A,nao materializado (a definir na gold relogio),derivado; status_meta na matriz de frentes da issue-66,classificacao No prazo; Atencao; Risco (faixas de corte nao definidas),mensal (snapshot),nacional e por frente; extensao por UF/municipio a definir,sem serie historica; visao pontual por snapshot,categorico (No prazo; Atencao; Risco),pendente
flag_atraso,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_atraso; status_prazo; dias_atraso; percentual_execucao_fisica; dt_referencia,true quando previsao de conclusao/entrega vencida e execucao fisica menor que 100%; status_prazo indica atraso ou dias_atraso maior que zero,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_paralisacao,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_paralisacao; dias_paralisacao; status_operacional,true quando ha data de paralisacao ou situacao textual contendo paralisacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_sem_atualizacao_recente,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_sem_atualizacao_recente; dias_sem_atualizacao,true para obra nao concluida sem liberacao/medicao ha mais de 90 dias ou sem data de atualizacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_baixa_execucao_fisica,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_baixa_execucao_fisica; percentual_execucao_fisica; dt_referencia,true quando execucao fisica 10 p.p. abaixo do previsto; previsao vencida sem conclusao; ou contrato com mais de 365 dias abaixo de 30% fisico,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_baixa_execucao_financeira,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_baixa_execucao_financeira; percentual_execucao_financeira; percentual_execucao_fisica; gap_fisico_financeiro_pp,true quando execucao financeira mais de 10 p.p. abaixo da fisica; ou contrato com mais de 365 dias com execucao financeira abaixo de 30%,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_gargalo_financeiro,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_gargalo_financeiro; saldo_contratado_a_desembolsar; percentual_saldo_a_desembolsar; percentual_execucao_fisica; valor_contratado; valor_desembolsado,true quando pelo menos 30% do contrato ainda nao desembolsado e execucao fisica abaixo de 95%,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_contrato_sem_evolucao,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_contrato_sem_evolucao; dias_sem_atualizacao; percentual_execucao_fisica; percentual_execucao_financeira,true quando contrato com mais de 180 dias sem execucao fisica nem financeira,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_entrega_em_risco,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_entrega_em_risco; indicadores_acionados; flag_atraso; flag_paralisacao; flag_baixa_execucao_fisica; flag_sem_atualizacao_recente,true quando empreendimento nao concluido tem atraso; paralisacao; baixa execucao ou falta de atualizacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
score_gargalo + classificacao_gargalo,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,score_gargalo; classificacao_gargalo; indicadores_acionados; flag_atraso; flag_paralisacao; flag_sem_atualizacao_recente; flag_baixa_execucao_fisica; flag_baixa_execucao_financeira; flag_gargalo_financeiro; flag_contrato_sem_evolucao,score = atraso 2; paralisacao 2; sem atualizacao 1; baixa execucao fisica 1; baixa execucao financeira 1; gargalo financeiro 1; contrato sem evolucao 1; classificacao Baixo = 0; Medio = 1-2; Alto = 3-4; Critico >= 5,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,score numerico + categorico (Baixo; Medio; Alto; Critico),definido_a_validar
