id,categoria,decisao,pergunta,valor_atual_referencia,resposta_esperada,indicadores_bloqueados,status,responsavel,resposta_registrada
1,meta,meta oficial total de UHs do ciclo 2023-2026,qual o valor numerico oficial da meta total de UHs do ciclo MCMV 2023-2026 e a fonte oficial?,2.214.810 (meta visual sem fonte oficial),valor numerico + documento/fonte oficial,uh_meta_total; perc_meta_contratada; perc_meta_entregue; gap_uh_meta; ritmo_necessario; projecao_entrega,pendente,,
2,meta,meta por frente/programa/ano,existe tabela oficial de metas por frente e por ano? fornecer,nao ha tabela oficial documentada,tabela oficial ou "nao existe",visao por frente do reloginho,pendente,,
3,meta,regra FNHIS/SUB50,o ponteiro da frente FNHIS deve ser proposta apresentada; selecionada; contrato ou UH? qual a regra de conversao?,fonte localizada com regra pendente,escolha do ponteiro + regra de conversao para UH,meta/progresso da frente FNHIS,pendente,,
4,meta,campo oficial de valor financiado,qual o campo oficial de valor financiado: vr_evento; vr_investimento ou outro?,vr_evento vs vr_investimento (totais diferentes),campo oficial (vr_evento; vr_investimento; outro),meta de valor de Reforma e Faixa 3,pendente,,
5,meta,total de entregas oficial,qual o caminho oficial do total de UHs entregues?,1.543.432 vs 1.518.598,caminho oficial (1.543.432 ou 1.518.598),uh_entregues,pendente,,
6,meta,equivalencia contratos/valor para UH,a meta das frentes financiadas fica em UH ou em contratos/valor? se UH; qual a regra de equivalencia?,nao definido,unidade da meta (UH ou contratos/valor) + regra de equivalencia,reloginho das frentes financiadas,pendente,,
7,meta,normalizacao de rotulos,confirmar padronizacao de RURAL/Rural e faixas 001/002/003?,RURAL/Rural e faixas 001/002/003 sem padronizar,confirmacao da padronizacao,deduplicacao e agregacao por frente,pendente,,
8,regra_reloginho,janela do ritmo_medio_mensal,quais meses entram no denominador de entregas acumuladas / meses observados?,nao definido,definicao da janela (inicio do ciclo; 1a entrega; janela movel),ritmo_medio_mensal,pendente,,
9,regra_reloginho,janela do ritmo recente (projecao_entrega),qual a janela do ritmo recente usado na projecao de entrega?,nao definido,janela do ritmo recente (3 meses; 6 meses; media movel),projecao_entrega,pendente,,
10,regra_reloginho,fim do ciclo / meses restantes,qual a data mes/ano de termino do ciclo 2023-2026?,nao definido (ciclo 2023-2026),data mes/ano de termino do ciclo,ritmo_necessario; projecao_entrega,pendente,,
11,regra_reloginho,faixas de corte do status_relogio,quais limiares definem No prazo / Atencao / Risco?,nao definido,limiares de corte (percentual da meta; gap; ritmo),status_relogio,pendente,,
12,limiar_gargalo,limiar de atualizacao recente (90 dias),o limiar de 90 dias sem liberacao/medicao esta correto?,90 dias,confirmar 90 dias ou valor oficial,flag_sem_atualizacao_recente,pendente,,
13,limiar_gargalo,diferenca minima fisico-financeira (10 p.p.),o limiar de 10 p.p. de diferenca entre execucao fisica e financeira esta correto?,10 p.p.,confirmar 10 p.p. ou valor oficial,flag_baixa_execucao_fisica; flag_baixa_execucao_financeira,pendente,,
14,limiar_gargalo,saldo a desembolsar + execucao fisica (30% + 95%),o limiar de 30% do contrato nao desembolsado com execucao fisica abaixo de 95% esta correto?,30% saldo + 95% fisico,confirmar 30% saldo + 95% fisico ou valores oficiais,flag_gargalo_financeiro,pendente,,
15,limiar_gargalo,contrato antigo abaixo de 30% (365 dias),o limiar de 365 dias de contrato com execucao abaixo de 30% esta correto?,365 dias + 30%,confirmar 365 dias + 30% ou valores oficiais,flag_baixa_execucao_fisica; flag_baixa_execucao_financeira,pendente,,
16,limiar_gargalo,contrato sem evolucao (180 dias),o limiar de 180 dias sem execucao fisica nem financeira esta correto?,180 dias,confirmar 180 dias ou valor oficial,flag_contrato_sem_evolucao,pendente,,
17,limiar_gargalo,pesos do score de gargalo,os pesos atuais do score estao corretos?,pesos 2/2/1/1/1/1/1,confirmar pesos ou pesos oficiais,score_gargalo; classificacao_gargalo,pendente,,
18,limiar_gargalo,faixas de classificacao do score,as faixas de classificacao atuais estao corretas?,faixas 0/1-2/3-4/>=5,confirmar faixas ou faixas oficiais,classificacao_gargalo,pendente,,
19,outros,separacao de dashboards,confirmar a separacao entre relogio executivo (metas) e mesa operacional de alertas (gargalo)?,separacao sugerida na issue-66,confirmar separacao sim/nao,status_relogio; indicadores de gargalo (apresentacao),pendente,,
20,outros,duplicacao 2x por APF na frente FAR (ficha_empreendimento),onde corrigir a deduplicacao 2x exata por APF na frente FAR (bronze dados_prioritarios_caixa; silver empreendimento; ou gold gargalo)?,ficha_empreendimento FAR com 1.646 linhas e 823 APFs (2x exata); teste unique id_indicador falha com 823 duplicatas; FDS limpa (343/343),local da correcao (bronze/silver/gargalo),unique id_indicador; totais FAR do gargalo (quantidade_uh/valor/score) dobrados,pendente,,
