programa,frente,kpi_relogio,fonte_principal,granularidade,alertas_prioritarios,status_modelagem
MCMV ciclo 2023-2026,FAR,UH contratadas; UH entregues; UH vigentes,raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_AF_CAIXA.csv + raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_AF_BB.txt,APF; UF; municipio; agente financeiro,atraso; baixa execucao; gargalo financeiro,pronto para gold/dashboard
MCMV ciclo 2023-2026,Entidades/FDS,UH contratadas; UH entregues; execucao fisica,bases 202606_* + gold FDS,APF; entidade; UF; municipio,baixa execucao; divergencia fisico-financeira; entrega em risco,pronto com validacao da regra de responsavel
MCMV ciclo 2023-2026,Rural,UH contratadas; UH entregues,raw/202606_SNH_PMCMV_DADOS_PRIORITARIOS_* + serie semanal FAR/FDS/Rural,APF; UF; municipio; modalidade,ritmo insuficiente; atraso; sem atualizacao,precisa normalizar RURAL/Rural
MCMV ciclo 2023-2026,FNHIS,propostas ou UH a definir,raw/novo_mcmv_fnhis_sub_50_propostas_apresentadas.csv + selecionadas,proposta; UF; municipio,meta sem regra oficial; conversao para UH,fonte localizada com regra pendente
MCMV financiado,Faixa 3/FGTS,contratos; valor financiado,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,contrato; faixa; UF; municipio,atraso; valor abaixo da meta; territorio critico,fonte atual agregada
MCMV financiado,Faixa 2/FGTS/SBPE,contratos; desembolso; execucao,raw/fgts_canal_tab_ao_* + snapshots base_pf_fgts,contrato; faixa; UF; municipio; data referencia,gargalo financeiro; execucao; andamento de obra,fonte localizada; precisa modelagem incremental
Reforma Casa Brasil,Contratos,numero de contratos,raw/reforma_casa_brasil_contratacao.csv + raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,contrato; faixa; UF; municipio; ano,ritmo insuficiente; territorio critico; atraso,fonte consolidada e snapshot atual
Reforma Casa Brasil,Valor financiado,vr_evento ou vr_investimento,raw/reforma_casa_brasil_contratacao.csv + raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,contrato; faixa; UF; municipio; ano,valor abaixo da meta; concentracao territorial,precisa decisao sobre campo oficial de valor
Todas,Historico preditivo,series historicas,raw/dados_historicos/ + staging/,tabela; APF; data movimento,sazonalidade; tendencia; drift,pronto para backtest
Todas,SFTP operacional,snapshots recentes,data/sftp/artefatos + raw/staging MinIO,tabela; data referencia; familia,mudanca de status; sem atualizacao; layout novo,pronto para monitoramento
