indicador,categoria,fonte,tabela,campos,regra_calculo,granularidade_temporal,granularidade_territorial,periodo_historico,unidade_medida,status_validacao
uh_meta_total,reloginho,tabela oficial de metas (a definir pela area); varredura MinIO nao encontrou arquivos com meta/ciclo/retomada,nao aplicavel (pendente); referencia visual 2.214.810 UHs para o ciclo 2023-2026,nao definido,pendente decisao de negocio; valor de referencia visual 2.214.810 UHs,ciclo 2023-2026,nacional (a definir por frente/UF),sem serie historica; somente referencia visual 2.214.810 UHs,UH,pendente
uh_contratadas,reloginho,historico_recente_* (SNH) via staging/dados_historicos; seed issue_118_mcmv_serie_temporal_piloto; historico_mcmv_empreendimentos_snapshot (GEFUS); raw/202606_SNH_* (ponteiro atual pendente),bronze_reloginho_snh_serie_mensal -> silver_reloginho_snh_apf_mes -> gold indicadores_reloginho / indicadores_reloginho_frente,uh_contratadas; dt_referencia; apf; uf; codigo_ibge_municipio; frente_mcmv,soma de UHs contratadas ate a data de referencia; snapshot 30/06/2026 = 1.874.623 UHs (CAIXA + BB) = 84.64% da meta visual,mensal (SNH 2024-06 a 2026-03 materializado; GEFUS 2019-12+; anual 2009-2025 piloto #118),APF; UF; municipio; agente financeiro; frente,serie mensal SNH 2024-06 a 2026-03 materializada (CAIXA+BB) + serie anual 2009-2025 (piloto #118) + serie mensal GEFUS 2019-12+ (FAR/FDS/Rural); snapshot 30/06/2026,UH,materializado (serie SNH) / ponteiro atual pendente
uh_entregues,reloginho,historico_recente_* (SNH; acumulado uh_entregues) via staging/dados_historicos; historico_mcmv_empreendimentos_snapshot (GEFUS FAR/Rural); raw/202606_SNH_*_ENTREGAS (ponteiro atual pendente),bronze_reloginho_snh_serie_mensal -> silver_reloginho_snh_apf_mes -> gold indicadores_reloginho / indicadores_reloginho_frente,uh_entregues; dt_referencia; apf; frente_mcmv,soma acumulada de UHs entregues ate a data de referencia; snapshot 30/06/2026 = 1.543.432 (bases mensais) ou 1.518.598 (evento); 69.69% da meta visual; definir caminho oficial,mensal (SNH 2024-06 a 2026-03 materializado; GEFUS 2019-12+ FAR/Rural); snapshot 30/06/2026,APF; UF; municipio; agente financeiro; frente,serie mensal SNH 2024-06 a 2026-03 materializada (CAIXA+BB) + serie mensal GEFUS 2019-12+ (FAR/Rural) + snapshot 30/06/2026; FDS sem entregues no GEFUS; fluxo o_recente_* de evento nao usado,UH,materializado (serie SNH) / caminho oficial e ponteiro atual pendentes
perc_meta_contratada,reloginho,derivado de uh_contratadas e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh; uh_meta_total (parametro),uh_contratadas / uh_meta_total; referencia com meta visual = 1.874.623 / 2.214.810 = 84.64%,mensal (snapshot),nacional; por frente/UF conforme grao de uh_contratadas,calculavel com serie anual 2009-2025 contra meta do ciclo (regra pendente),percentual,pendente
perc_meta_entregue,reloginho,derivado de uh_entregues e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro),uh_entregues / uh_meta_total; referencia com meta visual = 1.543.432 / 2.214.810 = 69.69%,mensal (snapshot),nacional; por frente/UF conforme grao de uh_entregues,serie mensal GEFUS 2019-12+ (FAR/Rural) + serie mensal SNH 2024-06+ + snapshot 30/06/2026; regra contra meta do ciclo pendente,percentual,pendente
gap_uh_meta,reloginho,derivado de uh_entregues e uh_meta_total,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro),uh_meta_total - uh_entregues,mensal (snapshot),nacional; por frente/UF conforme grao de uh_entregues,depende de uh_entregues (serie mensal GEFUS 2019-12+ / SNH 2024-06+) e da meta oficial (pendente),UH,pendente
ritmo_medio_mensal,reloginho,derivado de uh_entregues (serie mensal SNH),resumo_reloginho_dashboard (a partir de indicadores_reloginho),uh_entregues_ultimo; n_meses_observados,uh_entregues do ultimo mes / n_meses_observados (contagem corrida de meses da serie do agente); janela do denominador a confirmar (decisao #8),mensal,por agente (quebra por frente via indicadores_reloginho_frente),serie mensal SNH 2024-06 a 2026-03 materializada; GEFUS 2019-12+ como extensao futura,UHs/mes,materializado / janela a confirmar
ritmo_necessario,reloginho,derivado de uh_meta_total; uh_entregues e dt_referencia,nao materializado (a definir na gold relogio),quantidade_uh_entregues; uh_meta_total (parametro); dt_referencia,(uh_meta_total - uh_entregues) / meses restantes do ciclo,mensal,nao definido; aplicavel por frente/UF conforme grao,depende da meta oficial (pendente) e de uh_entregues (serie mensal GEFUS 2019-12+ / SNH 2024-06+); termino do ciclo a definir,UHs/mes,pendente
projecao_entrega,reloginho,derivado de uh_entregues e ritmo_medio_mensal/ritmo_recente,nao materializado (a definir na gold relogio),quantidade_uh_entregues; dt_referencia; ritmo (derivado),entregas observadas + (ritmo recente x meses restantes do ciclo); alerta meta em risco quando projecao menor que meta oficial,mensal,nao definido,serie mensal de entregues disponivel (GEFUS 2019-12+ / SNH 2024-06+); janela do ritmo recente e termino do ciclo a definir,UH,pendente
status_relogio,reloginho,derivado dos demais indicadores do grupo A,nao materializado (a definir na gold relogio),derivado; status_meta na matriz de frentes da issue-66,classificacao No prazo; Atencao; Risco (faixas de corte nao definidas),mensal (snapshot),nacional e por frente; extensao por UF/municipio a definir,calculavel mensal a partir de 2019-12 (FAR/Rural GEFUS) ou 2024-06 (SNH) apos faixas + meta definidas; hoje visao pontual por snapshot,categorico (No prazo; Atencao; Risco),pendente
propostas_fnhis_sub50,reloginho,raw/novo_mcmv_fnhis_sub_50_propostas_apresentadas.csv; raw/novo_mcmv_fnhis_sub_50_propostas_selecionadas.csv,nao materializado (a definir na silver),campos de propostas apresentadas/selecionadas por UF/municipio,contagem de propostas apresentadas e selecionadas; regra de conversao para UH pendente (proposta vs contrato vs UH),snapshot pontual (sem serie historica),nacional; por UF/municipio conforme fonte,somente snapshot atual; sem serie historica,propostas (contagem),pendente
contratos_faixa3_fgts,reloginho,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,nao materializado (a definir na silver),contratos por ano/faixa (003); vr_evento; vr_investimento,soma de contratos por ano/faixa; referencia 2025 = 44.001; 2026 = 89.149; total 133.150 (faixa 003),agregado por ano/faixa (snapshot),nacional; por UF/municipio a definir,snapshot 31/07/2026; sem serie historica,contratos (contagem),pendente
valor_financiado_faixa3_fgts,reloginho,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,nao materializado (a definir na silver),vr_evento ou vr_investimento (campo oficial pendente),soma do valor financiado por ano/faixa; total 27.93 Bi (vr_evento) ou 38.85 Bi (vr_investimento),agregado por ano/faixa (snapshot),nacional; por UF/municipio a definir,snapshot 31/07/2026; sem serie historica,R$ (valor financiado),pendente
